CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency_Monthly,Recency_Days,Tenure_Years,Online_Purchase_Ratio,Avg_Basket_Size,Returns_Rate,Loyalty_Points,Discount_Usage_Rate,Email_Open_Rate,App_Sessions_Monthly,Wishlist_Items,Cart_Abandon_Rate,Social_Engagement_Score,Electronics_Spend,Fashion_Spend,Grocery_Spend,Travel_Spend,Customer_Service_Calls,Referral_Count,Gender
1,38.0,19760.0,25.1,4.8,179.0,2.9,0.13,5.2,0.04,114.0,0.19,0.36,0.0,3,0.39,2.4,795.0,1485.0,2710.0,1743.0,2,0,Male
2,23.0,21261.0,73.9,13.6,20.0,4.6,0.83,4.9,0.07,1182.0,0.4,0.11,3.3,3,0.31,0.0,3074.0,1805.0,3375.0,1312.0,1,1,Male
3,38.0,83106.0,25.6,8.8,260.0,6.8,0.2,2.9,0.13,189.0,0.33,0.6,4.3,3,0.47,6.0,8310.0,11793.0,13966.0,7529.0,2,3,Male
4,40.0,104179.0,91.3,21.0,31.0,0.2,0.57,8.3,0.16,1569.0,0.37,0.08,9.7,6,0.33,1.1,13160.0,10088.0,9979.0,1549.0,4,1,Male
5,43.0,91404.0,18.8,7.7,158.0,7.1,0.29,5.1,0.1,125.0,0.01,0.42,1.4,1,0.41,3.5,6993.0,7485.0,11387.0,235.0,1,0,Male
6,40.0,21446.0,23.3,3.3,239.0,5.5,0.3,3.3,0.02,79.0,0.36,0.46,5.2,3,0.61,10.1,2590.0,3007.0,2086.0,459.0,1,2,Male
7,26.0,89692.0,79.8,15.3,14.0,0.2,0.77,6.4,0.0,1310.0,0.41,0.22,2.0,3,0.73,3.4,3768.0,4600.0,17371.0,8905.0,1,0,Female
8,37.0,20186.0,24.3,5.1,232.0,3.5,0.16,1.0,0.13,103.0,0.33,0.6,2.3,2,0.68,6.5,775.0,505.0,1648.0,495.0,4,0,Female
9,31.0,83460.0,72.5,24.6,8.0,1.3,0.47,6.5,0.1,1505.0,0.43,0.45,10.5,4,0.13,2.3,5316.0,12453.0,8355.0,4403.0,3,0,Male
10,24.0,30634.0,86.8,14.5,24.0,3.5,0.8,5.6,0.11,1459.0,0.32,0.01,11.2,1,0.33,0.5,4105.0,3053.0,2021.0,711.0,0,1,Female
11,31.0,20452.0,87.6,18.2,33.0,4.3,0.76,4.3,0.01,1744.0,0.41,0.59,9.5,4,0.22,3.3,1852.0,1585.0,1332.0,179.0,1,1,Male
12,32.0,84261.0,15.2,11.5,161.0,2.9,0.27,2.9,0.05,173.0,0.28,0.28,3.7,4,0.27,3.8,11642.0,6187.0,8855.0,739.0,0,0,Male
13,30.0,86579.0,22.8,6.7,107.0,6.6,0.31,1.0,0.05,170.0,0.39,0.0,5.2,1,0.27,8.3,6153.0,11408.0,15194.0,2446.0,1,0,Female
